GeneID	GeneName	Family_subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
FBgn0015803	"Rho-type guanine nucleotide exchange factor, isoform F"	"RHO-TYPE GUANINE NUCLEOTIDE EXCHANGE FACTOR, ISOFORM F (PTHR46026:SF1)"	guanyl-nucleotide exchange factor(PC00113)	guanyl-nucleotide exchange factor activity(GO:0005085);molecular adaptor activity(GO:0060090)	vesicle-mediated transport(GO:0016192);positive regulation of hippo signaling(GO:0035332);negative regulation of organ growth(GO:0046621);regulation of synapse organization(GO:0050807)	cytoplasm(GO:0005737);lamellipodium(GO:0030027);cell projection(GO:0042995);muscle cell postsynaptic specialization(GO:0097482)
FBgn0032853	"Uncharacterized protein, isoform A"	MIP16674P (PTHR10334:SF498)	defense/immunity protein(PC00090)	molecular_function(GO:0003674)	insemination(GO:0007320)	extracellular region(GO:0005576);extracellular space(GO:0005615)
FBgn0032234	"Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"	"DOLICHYL PYROPHOSPHATE MAN9GLCNAC2 ALPHA-1,3-GLUCOSYLTRANSFERASE (PTHR12413:SF1)"	glycosyltransferase(PC00111)	"transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);hexosyltransferase activity(GO:0016758);dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity(GO:0042281)"	protein glycosylation(GO:0006486);dolichol-linked oligosaccharide biosynthetic process(GO:0006488)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
FBgn0032856	RE22905p					membrane(GO:0016020)
FBgn0050467	LD40680p	PROTEIN SAAL1 (PTHR23424:SF23)	apolipoprotein(PC00052)	molecular_function(GO:0003674)		nucleus(GO:0005634);nucleoplasm(GO:0005654)
FBgn0033000	"Uncharacterized protein, isoform C"	ARF7 EFFECTOR PROTEIN C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR46536:SF3)		molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
FBgn0264606	"Fife, isoform D"	"FIFE, ISOFORM D (PTHR12157:SF24)"	membrane traffic protein(PC00150)	molecular_function(GO:0003674);small GTPase binding(GO:0031267);structural constituent of presynaptic active zone(GO:0098882)	positive regulation of neurotransmitter secretion(GO:0001956);exocytosis(GO:0006887);synaptic vesicle docking(GO:0016081);synaptic vesicle priming(GO:0016082);maintenance of presynaptic active zone structure(GO:0048790);synaptic vesicle clustering(GO:0097091);presynaptic active zone assembly(GO:1904071);regulation of synaptic vesicle exocytosis(GO:2000300);positive regulation of synaptic vesicle clustering(GO:2000809)	membrane(GO:0016020);presynaptic membrane(GO:0042734);synapse(GO:0045202);presynaptic active zone(GO:0048786);cytoskeleton of presynaptic active zone(GO:0048788);presynaptic active zone cytoplasmic component(GO:0098831)
FBgn0262624	LP10272p	LP10272P (PTHR12489:SF1)	scaffold/adaptor protein(PC00226)		sensory perception of sound(GO:0007605)	plasma membrane(GO:0005886);membrane(GO:0016020)
FBgn0283503	Neuralized E3 ubiquitin protein ligase 4	NEURALIZED-LIKE PROTEIN 4 (PTHR12429:SF14)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)		centrosome(GO:0005813)
FBgn0083986	GEO11096p1	COMPLEX III ASSEMBLY FACTOR LYRM7 (PTHR46749:SF1)	chaperone(PC00072)	molecular_function(GO:0003674);protein folding chaperone(GO:0044183)	protein folding(GO:0006457);biological_process(GO:0008150);mitochondrial respiratory chain complex III assembly(GO:0034551)	cellular_component(GO:0005575);mitochondrion(GO:0005739);mitochondrial matrix(GO:0005759)
FBgn0011774	ATP-dependent DNA helicase 2 subunit 1	X-RAY REPAIR CROSS-COMPLEMENTING PROTEIN 6 (PTHR12604:SF2)	DNA helicase(PC00011)	nucleotide binding(GO:0000166);DNA binding(GO:0003677);DNA helicase activity(GO:0003678);damaged DNA binding(GO:0003684);double-stranded DNA binding(GO:0003690);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887);telomeric DNA binding(GO:0042162);5'-deoxyribose-5-phosphate lyase activity(GO:0051575)	telomere maintenance(GO:0000723);DNA repair(GO:0006281);double-strand break repair via nonhomologous end joining(GO:0006303);DNA recombination(GO:0006310);DNA damage response(GO:0006974)	nucleus(GO:0005634);chromosome(GO:0005694);protein-containing complex(GO:0032991);Ku70:Ku80 complex(GO:0043564)
FBgn0004380	Kinesin-like protein	KINESIN-LIKE PROTEIN KIF3A (PTHR24115:SF472)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017);ATP hydrolysis activity(GO:0016887)	microtubule-based movement(GO:0007018);sensory perception of sound(GO:0007605);sensory perception of smell(GO:0007608);anterograde axonal transport(GO:0008089);establishment or maintenance of microtubule cytoskeleton polarity(GO:0030951);positive regulation of protein import into nucleus(GO:0042307);cilium assembly(GO:0060271);positive regulation of canonical Wnt signaling pathway(GO:0090263);protein transport along microtubule(GO:0098840);non-motile cilium assembly(GO:1905515)	cytoplasm(GO:0005737);cytoskeleton(GO:0005856);kinesin complex(GO:0005871);microtubule(GO:0005874);cilium(GO:0005929);microtubule cytoskeleton(GO:0015630);axon cytoplasm(GO:1904115)
FBgn0036405	RNA exonuclease 4	RNA EXONUCLEASE 4 (PTHR12801:SF158)	exoribonuclease(PC00099)	nucleic acid binding(GO:0003676);nuclease activity(GO:0004518);exonuclease activity(GO:0004527);3'-5' exonuclease activity(GO:0008408);hydrolase activity(GO:0016787)	DNA catabolic process(GO:0006308);rRNA processing(GO:0006364);RNA processing(GO:0006396)	nucleus(GO:0005634)
